Interval=	0.001 s
ExcelDateTime=	4.3789695451030566e+04	11/20/19 16:41:26.969041
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	500.0 mV
0.904	-11.75
0.905	-11.92188
0.906	-12.01562
0.907	-12.125
0.908	-12.23438
0.909	-12.17188
0.91	-12.29688
0.911	-12.40625
0.912	-12.21875
0.913	-12.3125
0.914	-12.375
0.915	-12.20312
0.916	-12.25
0.917	-12.14062
0.918	-11.95312
0.919	-11.89062
0.92	-11.625
0.921	-11.39062
0.922	-11.17188
0.923	-10.9375
0.924	-10.76562
0.925	-10.45312
0.926	-10.34375
0.927	-10.20312
0.928	-9.90625
0.929	-9.90625
0.93	-9.734375
0.931	-9.46875
0.932	-9.515625
0.933	-9.1875
0.934	-8.953125
0.935	-8.890625
0.936	-8.484375
0.937	-8.3125
0.938	-8.15625
0.939	-7.765625
0.94	-7.578125
0.941	-7.296875
0.942	-6.984375
0.943	-6.75
0.944	-6.46875
0.945	-6.21875
0.946	-5.90625
0.947	-5.65625
0.948	-5.4375
0.949	-5.078125
0.95	-4.828125
0.951	-4.46875
0.952	-4.0625
0.953	-3.796875
0.954	-3.3125
0.955	-2.921875
0.956	-2.59375
0.957	-2.046875
0.958	-1.71875
0.959	-1.34375
0.96	-0.875
0.961	-0.5625
0.962	-0.140625
0.963	0.203125
0.964	0.40625
0.965	0.734375
0.966	1
0.967	1.21875
0.968	1.5
0.969	1.703125
0.97	1.921875
0.971	2.171875
0.972	2.390625
0.973	2.609375
0.974	2.828125
0.975	3.015625
0.976	3.265625
0.977	3.546875
0.978	3.75
0.979	3.984375
0.98	4.171875
0.981	4.28125
0.982	4.4375
0.983	4.53125
0.984	4.59375
0.985	4.75
0.986	4.78125
0.987	4.859375
0.988	4.96875
0.989	4.875
0.99	4.9375
0.991	4.859375
0.992	4.78125
0.993	4.921875
0.994	4.828125
0.995	4.890625
0.996	4.96875
0.997	4.859375
0.998	5
0.999	4.984375
1	5.03125
1.001	5.265625
1.002	5.328125
1.003	5.578125
1.004	5.84375
1.005	5.90625
1.006	6.15625
1.007	6.296875
1.008	6.484375
1.009	6.78125
1.01	6.890625
1.011	7.21875
1.012	7.515625
1.013	7.640625
1.014	7.96875
1.015	8.125
1.016	8.3125
1.017	8.640625
1.018	8.828125
1.019	9.140625
1.02	9.390625
1.021	9.546875
1.022	9.765625
1.023	9.828125
1.024	9.96875
1.025	10.1875
1.026	10.35938
1.027	10.625
1.028	10.95312
1.029	11.21875
1.03	11.54688
1.031	11.78125
1.032	12
1.033	12.25
1.034	12.42188
1.035	12.71875
1.036	12.9375
1.037	13.125
1.038	13.34375
1.039	13.39062
1.04	13.51562
1.041	13.64062
1.042	13.65625
1.043	13.73438
1.044	13.78125
1.045	13.78125
1.046	13.76562
1.047	13.70312
1.048	13.625
1.049	13.5625
1.05	13.5
1.051	13.4375
1.052	13.28125
1.053	13.15625
1.054	13
1.055	12.78125
1.056	12.57812
1.057	12.32812
1.058	12.0625
1.059	11.78125
1.06	11.48438
1.061	11.14062
