Interval=	0.001 s
ExcelDateTime=	4.3789686493178626e+04	11/20/19 16:28:33.010634
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	500.0 mV
0.714	-12.67188
0.715	-12.54688
0.716	-12.40625
0.717	-12.25
0.718	-12.125
0.719	-12
0.72	-11.85938
0.721	-11.71875
0.722	-11.57812
0.723	-11.46875
0.724	-11.39062
0.725	-11.32812
0.726	-11.28125
0.727	-11.25
0.728	-11.21875
0.729	-11.17188
0.73	-11.10938
0.731	-11.0625
0.732	-11.01562
0.733	-10.95312
0.734	-10.875
0.735	-10.8125
0.736	-10.75
0.737	-10.625
0.738	-10.42188
0.739	-10.20312
0.74	-9.921875
0.741	-9.609375
0.742	-9.21875
0.743	-8.78125
0.744	-8.296875
0.745	-7.765625
0.746	-7.15625
0.747	-6.53125
0.748	-5.890625
0.749	-5.234375
0.75	-4.546875
0.751	-3.84375
0.752	-3.15625
0.753	-2.46875
0.754	-1.78125
0.755	-1.109375
0.756	-0.46875
0.757	0.125
0.758	0.671875
0.759	1.15625
0.76	1.609375
0.761	2.03125
0.762	2.421875
0.763	2.78125
0.764	3.0625
0.765	3.296875
0.766	3.46875
0.767	3.609375
0.768	3.671875
0.769	3.71875
0.77	3.71875
0.771	3.6875
0.772	3.65625
0.773	3.578125
0.774	3.4375
0.775	3.3125
0.776	3.140625
0.777	2.953125
0.778	2.75
0.779	2.5625
0.78	2.390625
0.781	2.1875
0.782	1.96875
0.783	1.78125
0.784	1.578125
0.785	1.375
0.786	1.1875
0.787	1.0625
0.788	0.953125
0.789	0.8125
0.79	0.65625
0.791	0.546875
0.792	0.46875
0.793	0.390625
0.794	0.3125
0.795	0.265625
0.796	0.28125
0.797	0.3125
0.798	0.328125
0.799	0.34375
0.8	0.40625
0.801	0.46875
0.802	0.546875
0.803	0.65625
0.804	0.78125
0.805	0.921875
0.806	1.0625
0.807	1.1875
0.808	1.34375
0.809	1.453125
0.81	1.53125
0.811	1.59375
0.812	1.671875
0.813	1.734375
0.814	1.765625
0.815	1.765625
0.816	1.71875
0.817	1.640625
0.818	1.546875
0.819	1.40625
0.82	1.21875
0.821	1.015625
0.822	0.796875
0.823	0.515625
0.824	0.203125
0.825	-0.140625
0.826	-0.53125
0.827	-0.953125
0.828	-1.390625
0.829	-1.84375
0.83	-2.296875
0.831	-2.78125
0.832	-3.28125
0.833	-3.796875
0.834	-4.328125
0.835	-4.859375
0.836	-5.328125
0.837	-5.78125
0.838	-6.234375
0.839	-6.71875
0.84	-7.21875
0.841	-7.703125
0.842	-8.140625
0.843	-8.578125
0.844	-8.96875
0.845	-9.34375
0.846	-9.734375
0.847	-10.125
0.848	-10.51562
0.849	-10.85938
0.85	-11.125
0.851	-11.35938
0.852	-11.5625
0.853	-11.71875
0.854	-11.84375
0.855	-11.95312
0.856	-12.04688
0.857	-12.125
0.858	-12.1875
0.859	-12.23438
0.86	-12.25
0.861	-12.23438
0.862	-12.1875
0.863	-12.07812
0.864	-11.95312
0.865	-11.85938
0.866	-11.78125
0.867	-11.65625
0.868	-11.53125
0.869	-11.39062
0.87	-11.23438
0.871	-11.03125
0.872	-10.84375
0.873	-10.6875
0.874	-10.54688
0.875	-10.40625
0.876	-10.29688
0.877	-10.20312
0.878	-10.125
0.879	-10.0625
0.88	-10
0.881	-9.984375
0.882	-10
0.883	-10.07812
0.884	-10.21875
0.885	-10.39062
0.886	-10.5625
0.887	-10.71875
0.888	-10.875
0.889	-11.04688
0.89	-11.26562
0.891	-11.48438
0.892	-11.71875
0.893	-11.96875
0.894	-12.23438
0.895	-12.46875
0.896	-12.6875
0.897	-12.92188
0.898	-13.20312
0.899	-13.5
0.9	-13.78125
0.901	-14.04688
0.902	-14.29688
0.903	-14.53125
0.904	-14.73438
0.905	-14.92188
0.906	-15.09375
0.907	-15.28125
0.908	-15.42188
0.909	-15.5625
0.91	-15.70312
0.911	-15.84375
0.912	-15.95312
0.913	-16.0625
0.914	-16.1875
0.915	-16.34375
0.916	-16.51562
0.917	-16.6875
0.918	-16.84375
0.919	-17
0.92	-17.14062
0.921	-17.25
0.922	-17.35938
0.923	-17.48438
0.924	-17.59375
0.925	-17.65625
0.926	-17.67188
0.927	-17.64062
0.928	-17.5625
0.929	-17.45312
0.93	-17.29688
0.931	-17.14062
0.932	-16.9375
0.933	-16.70312
0.934	-16.45312
0.935	-16.21875
0.936	-15.96875
0.937	-15.71875
0.938	-15.45312
0.939	-15.21875
0.94	-15
0.941	-14.82812
0.942	-14.65625
0.943	-14.53125
0.944	-14.42188
0.945	-14.34375
0.946	-14.28125
0.947	-14.26562
0.948	-14.3125
0.949	-14.40625
0.95	-14.51562
0.951	-14.64062
0.952	-14.76562
0.953	-14.90625
0.954	-15.03125
0.955	-15.15625
0.956	-15.32812
0.957	-15.51562
0.958	-15.71875
0.959	-15.92188
0.96	-16.15625
0.961	-16.35938
0.962	-16.53125
0.963	-16.67188
0.964	-16.8125
0.965	-16.98438
0.966	-17.125
0.967	-17.21875
0.968	-17.28125
0.969	-17.29688
0.97	-17.28125
0.971	-17.20312
0.972	-17.10938
0.973	-16.98438
0.974	-16.8125
0.975	-16.60938
0.976	-16.40625
0.977	-16.1875
0.978	-15.9375
0.979	-15.64062
0.98	-15.35938
0.981	-15.07812
0.982	-14.82812
0.983	-14.59375
0.984	-14.34375
0.985	-14.14062
0.986	-13.95312
0.987	-13.76562
0.988	-13.60938
0.989	-13.48438
0.99	-13.39062
0.991	-13.3125
0.992	-13.29688
0.993	-13.3125
0.994	-13.35938
0.995	-13.40625
0.996	-13.45312
0.997	-13.51562
0.998	-13.60938
0.999	-13.71875
1	-13.8125
1.001	-13.92188
1.002	-14.04688
1.003	-14.14062
1.004	-14.23438
1.005	-14.3125
1.006	-14.39062
1.007	-14.48438
1.008	-14.57812
1.009	-14.70312
1.01	-14.85938
1.011	-15.04688
1.012	-15.1875
1.013	-15.32812
1.014	-15.48438
1.015	-15.6875
1.016	-15.90625
1.017	-16.17188
1.018	-16.45312
1.019	-16.73438
1.02	-17.01562
1.021	-17.29688
1.022	-17.57812
1.023	-17.875
1.024	-18.1875
1.025	-18.45312
1.026	-18.70312
1.027	-18.9375
1.028	-19.14062
1.029	-19.3125
1.03	-19.45312
1.031	-19.54688
1.032	-19.59375
1.033	-19.60938
1.034	-19.5625
1.035	-19.45312
1.036	-19.3125
1.037	-19.125
1.038	-18.90625
1.039	-18.67188
1.04	-18.46875
1.041	-18.23438
1.042	-17.96875
1.043	-17.67188
1.044	-17.40625
1.045	-17.10938
1.046	-16.84375
1.047	-16.59375
1.048	-16.375
1.049	-16.1875
1.05	-15.98438
1.051	-15.8125
1.052	-15.65625
1.053	-15.5
1.054	-15.32812
1.055	-15.17188
1.056	-15.04688
1.057	-14.95312
1.058	-14.875
1.059	-14.8125
1.06	-14.76562
1.061	-14.75
1.062	-14.71875
1.063	-14.6875
1.064	-14.67188
1.065	-14.70312
1.066	-14.73438
1.067	-14.76562
1.068	-14.8125
1.069	-14.85938
1.07	-14.89062
1.071	-14.89062
1.072	-14.89062
1.073	-14.95312
1.074	-15
1.075	-15.04688
1.076	-15.09375
1.077	-15.10938
1.078	-15.10938
1.079	-15.0625
1.08	-15
1.081	-14.9375
1.082	-14.875
1.083	-14.78125
1.084	-14.6875
1.085	-14.60938
1.086	-14.51562
1.087	-14.40625
1.088	-14.26562
1.089	-14.09375
1.09	-13.9375
1.091	-13.73438
1.092	-13.54688
1.093	-13.39062
1.094	-13.23438
1.095	-13.03125
1.096	-12.8125
1.097	-12.57812
1.098	-12.39062
1.099	-12.20312
1.1	-11.95312
1.101	-11.625
1.102	-11.21875
1.103	-10.73438
1.104	-10.1875
1.105	-9.53125
1.106	-8.8125
1.107	-7.984375
1.108	-7.03125
1.109	-5.984375
1.11	-4.875
1.111	-3.640625
1.112	-2.328125
1.113	-0.90625
1.114	0.609375
1.115	2.171875
1.116	3.765625
1.117	5.40625
1.118	7.03125
1.119	8.6875
1.12	10.35938
1.121	12.04688
1.122	13.70312
1.123	15.3125
1.124	16.92188
1.125	18.5
1.126	20.04688
1.127	21.54688
1.128	23.01562
1.129	24.5
1.13	25.95312
1.131	27.35938
1.132	28.75
1.133	30.10938
1.134	31.45312
1.135	32.76562
1.136	34.0625
1.137	35.32812
1.138	36.5625
1.139	37.75
1.14	38.89062
1.141	40.01562
1.142	41.09375
1.143	42.09375
1.144	43.01562
1.145	43.92188
1.146	44.79688
1.147	45.60938
1.148	46.34375
1.149	47.03125
1.15	47.6875
1.151	48.26562
1.152	48.76562
1.153	49.21875
1.154	49.625
1.155	50
1.156	50.28125
1.157	50.5
1.158	50.67188
1.159	50.78125
1.16	50.84375
1.161	50.85938
1.162	50.8125
1.163	50.6875
1.164	50.51562
1.165	50.3125
1.166	50.10938
1.167	49.875
1.168	49.60938
1.169	49.29688
1.17	48.95312
1.171	48.57812
1.172	48.1875
1.173	47.76562
1.174	47.34375
1.175	46.90625
1.176	46.42188
1.177	45.875
1.178	45.29688
1.179	44.73438
1.18	44.15625
1.181	43.57812
1.182	42.98438
1.183	42.39062
1.184	41.73438
1.185	41.04688
1.186	40.34375
1.187	39.60938
1.188	38.84375
1.189	38.09375
1.19	37.32812
1.191	36.5625
1.192	35.76562
1.193	34.95312
1.194	34.09375
1.195	33.23438
1.196	32.32812
1.197	31.40625
1.198	30.4375
1.199	29.4375
1.2	28.40625
1.201	27.32812
1.202	26.21875
1.203	25.0625
1.204	23.89062
1.205	22.71875
1.206	21.51562
1.207	20.29688
1.208	19.07812
1.209	17.875
1.21	16.70312
1.211	15.59375
1.212	14.5625
1.213	13.57812
1.214	12.60938
1.215	11.70312
1.216	10.84375
1.217	10.03125
1.218	9.28125
1.219	8.578125
1.22	7.9375
1.221	7.328125
1.222	6.765625
1.223	6.1875
1.224	5.59375
1.225	5.015625
1.226	4.390625
1.227	3.765625
1.228	3.15625
1.229	2.5625
1.23	1.984375
1.231	1.40625
1.232	0.84375
1.233	0.265625
1.234	-0.28125
1.235	-0.859375
1.236	-1.40625
1.237	-1.90625
1.238	-2.390625
1.239	-2.84375
1.24	-3.28125
1.241	-3.703125
1.242	-4.109375
1.243	-4.5
1.244	-4.875
1.245	-5.234375
1.246	-5.546875
1.247	-5.875
1.248	-6.1875
1.249	-6.5
1.25	-6.75
1.251	-6.984375
1.252	-7.203125
1.253	-7.375
1.254	-7.53125
1.255	-7.640625
1.256	-7.71875
1.257	-7.828125
1.258	-7.90625
1.259	-7.984375
1.26	-8.046875
1.261	-8.046875
1.262	-8.015625
1.263	-7.953125
1.264	-7.875
1.265	-7.8125
1.266	-7.765625
1.267	-7.75
1.268	-7.796875
1.269	-7.875
1.27	-7.96875
1.271	-8.03125
1.272	-8.078125
1.273	-8.140625
1.274	-8.15625
1.275	-8.140625
1.276	-8.15625
1.277	-8.171875
1.278	-8.125
1.279	-8.046875
1.28	-7.9375
1.281	-7.78125
1.282	-7.609375
1.283	-7.390625
1.284	-7.140625
1.285	-6.84375
1.286	-6.53125
1.287	-6.1875
1.288	-5.84375
1.289	-5.53125
1.29	-5.28125
1.291	-5.015625
1.292	-4.78125
1.293	-4.578125
1.294	-4.390625
1.295	-4.234375
1.296	-4.078125
1.297	-3.96875
1.298	-3.875
1.299	-3.796875
1.3	-3.734375
1.301	-3.71875
1.302	-3.71875
1.303	-3.734375
1.304	-3.765625
1.305	-3.796875
1.306	-3.859375
1.307	-3.9375
1.308	-4
1.309	-4.09375
1.31	-4.203125
1.311	-4.28125
1.312	-4.375
1.313	-4.453125
1.314	-4.5625
1.315	-4.703125
1.316	-4.8125
1.317	-4.921875
1.318	-5.09375
1.319	-5.25
1.32	-5.4375
1.321	-5.65625
1.322	-5.921875
1.323	-6.25
1.324	-6.59375
1.325	-6.953125
1.326	-7.390625
1.327	-7.859375
1.328	-8.359375
1.329	-8.859375
1.33	-9.359375
1.331	-9.90625
1.332	-10.4375
1.333	-10.9375
1.334	-11.42188
1.335	-11.90625
1.336	-12.34375
1.337	-12.73438
1.338	-13.10938
1.339	-13.45312
1.34	-13.8125
1.341	-14.125
1.342	-14.42188
1.343	-14.6875
1.344	-14.92188
1.345	-15.15625
1.346	-15.375
1.347	-15.57812
1.348	-15.76562
1.349	-15.89062
1.35	-16
1.351	-16.10938
1.352	-16.23438
1.353	-16.34375
1.354	-16.45312
1.355	-16.53125
1.356	-16.64062
1.357	-16.73438
1.358	-16.84375
1.359	-16.9375
1.36	-17.01562
1.361	-17.09375
1.362	-17.14062
1.363	-17.17188
1.364	-17.23438
1.365	-17.3125
1.366	-17.35938
1.367	-17.375
1.368	-17.375
1.369	-17.3125
1.37	-17.20312
1.371	-17.03125
1.372	-16.875
1.373	-16.6875
1.374	-16.45312
1.375	-16.21875
1.376	-16
1.377	-15.76562
1.378	-15.51562
1.379	-15.21875
1.38	-14.9375
1.381	-14.65625
1.382	-14.40625
1.383	-14.15625
1.384	-13.9375
1.385	-13.73438
1.386	-13.53125
1.387	-13.375
1.388	-13.21875
1.389	-13.07812
1.39	-12.95312
1.391	-12.82812
1.392	-12.71875
1.393	-12.60938
1.394	-12.51562
1.395	-12.40625
1.396	-12.25
1.397	-12.10938
1.398	-11.98438
1.399	-11.8125
1.4	-11.625
1.401	-11.46875
1.402	-11.28125
1.403	-11.07812
1.404	-10.84375
1.405	-10.5625
1.406	-10.28125
1.407	-9.984375
1.408	-9.6875
1.409	-9.40625
1.41	-9.09375
1.411	-8.765625
1.412	-8.390625
1.413	-7.984375
1.414	-7.609375
1.415	-7.21875
1.416	-6.875
1.417	-6.5
1.418	-6.15625
1.419	-5.84375
1.42	-5.546875
1.421	-5.25
1.422	-5
1.423	-4.796875
1.424	-4.578125
1.425	-4.375
1.426	-4.21875
